series,split,mode,corruption_rate,accuracy,correct,total,path
"MAPLE 1B (T+, I+)",overall,url_country_mask,0.25,0.3175401069518717,5938,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_urlmask_c0p25.jsonl
"MAPLE 1B (T+, I+)",overall,url_country_mask,0.5,0.3174331550802139,5936,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_urlmask_c0p5.jsonl
"MAPLE 1B (T+, I+)",overall,url_country_mask,0.75,0.3170588235294118,5929,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_urlmask_c0p75.jsonl
"MAPLE 1B (T+, I+)",overall,url_country_mask,1.0,0.31684491978609625,5925,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_urlmask_c1p0.jsonl
"MAPLE 1B (T-, I-)",ambiguous,none,0.0,0.06588235294117648,112,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/1b/localnewsqa_eval_target_without_metadata_custom_1b_tminus_urlmask_c0.jsonl
"MAPLE 1B (T-, I-)",explicit,none,0.0,0.3235294117647059,5500,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/1b/localnewsqa_eval_target_without_metadata_custom_1b_tminus_urlmask_c0.jsonl
"MAPLE 1B (T-, I-)",overall,none,0.0,0.30010695187165776,5612,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/1b/localnewsqa_eval_target_without_metadata_custom_1b_tminus_urlmask_c0.jsonl
"MAPLE 3B (T+, I+)",ambiguous,url_country_mask,0.0,0.2776470588235294,472,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_urlmask_c0.jsonl
"MAPLE 3B (T+, I+)",ambiguous,url_country_mask,0.25,0.2782352941176471,473,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_urlmask_c0p25.jsonl
"MAPLE 3B (T+, I+)",ambiguous,url_country_mask,0.5,0.2788235294117647,474,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_urlmask_c0p5.jsonl
"MAPLE 3B (T+, I+)",ambiguous,url_country_mask,0.75,0.27941176470588236,475,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_urlmask_c0p75.jsonl
"MAPLE 3B (T+, I+)",ambiguous,url_country_mask,1.0,0.27294117647058824,464,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_urlmask_c1p0.jsonl
"MAPLE 3B (T+, I+)",explicit,url_country_mask,0.0,0.34994117647058826,5949,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_urlmask_c0.jsonl
"MAPLE 3B (T+, I+)",explicit,url_country_mask,0.25,0.3497647058823529,5946,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_urlmask_c0p25.jsonl
"MAPLE 3B (T+, I+)",explicit,url_country_mask,0.5,0.3497058823529412,5945,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_urlmask_c0p5.jsonl
"MAPLE 3B (T+, I+)",explicit,url_country_mask,0.75,0.3478235294117647,5913,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_urlmask_c0p75.jsonl
"MAPLE 3B (T+, I+)",explicit,url_country_mask,1.0,0.34823529411764703,5920,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_urlmask_c1p0.jsonl
"MAPLE 3B (T+, I+)",overall,url_country_mask,0.0,0.34336898395721926,6421,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_urlmask_c0.jsonl
"MAPLE 3B (T+, I+)",overall,url_country_mask,0.25,0.3432620320855615,6419,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_urlmask_c0p25.jsonl
"MAPLE 3B (T+, I+)",overall,url_country_mask,0.5,0.3432620320855615,6419,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_urlmask_c0p5.jsonl
"MAPLE 3B (T+, I+)",overall,url_country_mask,0.75,0.3416042780748663,6388,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_urlmask_c0p75.jsonl
"MAPLE 3B (T+, I+)",overall,url_country_mask,1.0,0.3413903743315508,6384,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_urlmask_c1p0.jsonl
"MAPLE 3B (T-, I-)",ambiguous,none,0.0,0.19058823529411764,324,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/3b/localnewsqa_eval_target_without_metadata_custom_3b_tminus_urlmask_c0.jsonl
"MAPLE 3B (T-, I-)",explicit,none,0.0,0.33305882352941174,5662,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/3b/localnewsqa_eval_target_without_metadata_custom_3b_tminus_urlmask_c0.jsonl
"MAPLE 3B (T-, I-)",overall,none,0.0,0.3201069518716578,5986,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/3b/localnewsqa_eval_target_without_metadata_custom_3b_tminus_urlmask_c0.jsonl
