model_slug,model_label,meta_tag,meta_label,split,accuracy,accuracy_std,seed_count,total
qwen25_3b,Qwen2.5-3B,without_metadata,Without metadata,Explicit,0.445,0.000669400392749482,5,17000
qwen25_3b,Qwen2.5-3B,without_metadata,Without metadata,Ambiguous,0.18741176470588233,0.008621209863793538,5,1700
qwen35_0p8b,Qwen3.5-0.8B,with_metadata,With metadata,Overall,0.36065240641711227,0.0013972475117569256,5,18700
qwen35_0p8b,Qwen3.5-0.8B,with_metadata,With metadata,Explicit,0.3771058823529411,0.00118409295436105,5,17000
qwen35_0p8b,Qwen3.5-0.8B,with_metadata,With metadata,Ambiguous,0.19611764705882356,0.007017033156916074,5,1700
qwen35_0p8b,Qwen3.5-0.8B,without_metadata,Without metadata,Overall,0.3726844919786097,0.0011453092374767394,5,18700
qwen35_0p8b,Qwen3.5-0.8B,without_metadata,Without metadata,Explicit,0.3932235294117647,0.0016245308079629436,5,17000
qwen35_0p8b,Qwen3.5-0.8B,without_metadata,Without metadata,Ambiguous,0.16729411764705884,0.004314616663739347,5,1700
qwen35_2b,Qwen3.5-2B,with_metadata,With metadata,Overall,0.45235294117647057,0.0020001715731834406,5,18700
qwen35_2b,Qwen3.5-2B,with_metadata,With metadata,Explicit,0.4671647058823529,0.0017121588387977657,5,17000
qwen35_2b,Qwen3.5-2B,with_metadata,With metadata,Ambiguous,0.30423529411764705,0.006299887404936605,5,1700
qwen35_2b,Qwen3.5-2B,without_metadata,Without metadata,Overall,0.42594652406417116,0.001063082236559506,5,18700
qwen35_2b,Qwen3.5-2B,without_metadata,Without metadata,Explicit,0.449,0.0013637674258081822,5,17000
qwen35_2b,Qwen3.5-2B,without_metadata,Without metadata,Ambiguous,0.19541176470588234,0.0056021498592042935,5,1700
qwen35_4b,Qwen3.5-4B,with_metadata,With metadata,Overall,0.3116149732620321,0.0006252340921096997,5,18700
qwen35_4b,Qwen3.5-4B,with_metadata,With metadata,Explicit,0.32594117647058823,0.0007405693124714238,5,17000
qwen35_4b,Qwen3.5-4B,with_metadata,With metadata,Ambiguous,0.16835294117647057,0.002403860793141481,5,1700
qwen35_4b,Qwen3.5-4B,without_metadata,Without metadata,Overall,0.30887700534759355,0.000325281418732519,5,18700
qwen35_4b,Qwen3.5-4B,without_metadata,Without metadata,Explicit,0.32436470588235294,0.0003363759636587288,5,17000
qwen35_4b,Qwen3.5-4B,without_metadata,Without metadata,Ambiguous,0.154,0.0014043925160368554,5,1700
qwen35_9b,Qwen3.5-9B,with_metadata,With metadata,Overall,0.31263101604278076,0.0006608119863778274,5,18700
qwen35_9b,Qwen3.5-9B,with_metadata,With metadata,Explicit,0.32671764705882356,0.0006161045163659446,5,17000
qwen35_9b,Qwen3.5-9B,with_metadata,With metadata,Ambiguous,0.17176470588235293,0.001499711621644928,5,1700
qwen35_9b,Qwen3.5-9B,without_metadata,Without metadata,Overall,0.3130267379679144,0.0006266047201895996,5,18700
qwen35_9b,Qwen3.5-9B,without_metadata,Without metadata,Explicit,0.3281411764705882,0.0005787470059411157,5,17000
qwen35_9b,Qwen3.5-9B,without_metadata,Without metadata,Ambiguous,0.16188235294117648,0.001632286697119012,5,1700
