series,split,mode,corruption_rate,accuracy,correct,total,path
"MAPLE 1B (T+, I+)",overall,full_mismatch,0.75,0.3155614973262032,5901,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0p75.jsonl
"MAPLE 1B (T+, I+)",overall,full_mismatch,1.0,0.31481283422459894,5887,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c1p0.jsonl
"MAPLE 1B (T-, I-)",ambiguous,none,0.0,0.06588235294117648,112,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/1b/localnewsqa_eval_target_without_metadata_custom_1b_tminus_adv_c0.jsonl
"MAPLE 1B (T-, I-)",explicit,none,0.0,0.3235294117647059,5500,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/1b/localnewsqa_eval_target_without_metadata_custom_1b_tminus_adv_c0.jsonl
"MAPLE 1B (T-, I-)",overall,none,0.0,0.30010695187165776,5612,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/1b/localnewsqa_eval_target_without_metadata_custom_1b_tminus_adv_c0.jsonl
"MAPLE 3B (T+, I+)",ambiguous,full_mismatch,0.0,0.2776470588235294,472,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0.jsonl
"MAPLE 3B (T+, I+)",ambiguous,full_mismatch,0.25,0.2847058823529412,484,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0p25.jsonl
"MAPLE 3B (T+, I+)",ambiguous,full_mismatch,0.5,0.28411764705882353,483,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0p5.jsonl
"MAPLE 3B (T+, I+)",ambiguous,full_mismatch,0.75,0.29,493,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0p75.jsonl
"MAPLE 3B (T+, I+)",ambiguous,full_mismatch,1.0,0.2752941176470588,468,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c1p0.jsonl
"MAPLE 3B (T+, I+)",explicit,full_mismatch,0.0,0.34994117647058826,5949,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0.jsonl
"MAPLE 3B (T+, I+)",explicit,full_mismatch,0.25,0.34794117647058825,5915,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0p25.jsonl
"MAPLE 3B (T+, I+)",explicit,full_mismatch,0.5,0.3451764705882353,5868,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0p5.jsonl
"MAPLE 3B (T+, I+)",explicit,full_mismatch,0.75,0.34,5780,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0p75.jsonl
"MAPLE 3B (T+, I+)",explicit,full_mismatch,1.0,0.3422352941176471,5818,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c1p0.jsonl
"MAPLE 3B (T+, I+)",overall,full_mismatch,0.0,0.34336898395721926,6421,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0.jsonl
"MAPLE 3B (T+, I+)",overall,full_mismatch,0.25,0.34219251336898393,6399,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0p25.jsonl
"MAPLE 3B (T+, I+)",overall,full_mismatch,0.5,0.33962566844919784,6351,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0p5.jsonl
"MAPLE 3B (T+, I+)",overall,full_mismatch,0.75,0.33545454545454545,6273,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0p75.jsonl
"MAPLE 3B (T+, I+)",overall,full_mismatch,1.0,0.33614973262032083,6286,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c1p0.jsonl
"MAPLE 3B (T-, I-)",ambiguous,none,0.0,0.19058823529411764,324,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/3b/localnewsqa_eval_target_without_metadata_custom_3b_tminus_adv_c0.jsonl
"MAPLE 3B (T-, I-)",explicit,none,0.0,0.33305882352941174,5662,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/3b/localnewsqa_eval_target_without_metadata_custom_3b_tminus_adv_c0.jsonl
"MAPLE 3B (T-, I-)",overall,none,0.0,0.3201069518716578,5986,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/3b/localnewsqa_eval_target_without_metadata_custom_3b_tminus_adv_c0.jsonl
