group,check,status,detail
sft_accuracy,1B Explicit intermediates between endpoints,fail,"T-/I-=35.42, T-/I+=37.77, T+/I-=33.35, T+/I+=35.59"
sft_accuracy,1B Ambiguous T+I+ > T-I-,pass,"T+I+=27.95, T-I-=20.31"
sft_accuracy,1B Ambiguous T+I+ best,fail,"T-/I-=20.31, T-/I+=29.82, T+/I-=21.76, T+/I+=27.95"
sft_accuracy,1B Ambiguous intermediates between endpoints,fail,"T-/I-=20.31, T-/I+=29.82, T+/I-=21.76, T+/I+=27.95"
sft_accuracy,3B Overall T+I+ > T-I-,pass,"T+I+=40.60, T-I-=38.47"
sft_accuracy,3B Overall T+I+ best,pass,"T-/I-=38.47, T-/I+=38.78, T+/I-=37.44, T+/I+=40.60"
sft_accuracy,3B Overall intermediates between endpoints,fail,"T-/I-=38.47, T-/I+=38.78, T+/I-=37.44, T+/I+=40.60"
sft_accuracy,3B Explicit T+I+ > T-I-,pass,"T+I+=41.10, T-I-=39.76"
sft_accuracy,3B Explicit T+I+ best,pass,"T-/I-=39.76, T-/I+=39.58, T+/I-=38.49, T+/I+=41.10"
sft_accuracy,3B Explicit intermediates between endpoints,fail,"T-/I-=39.76, T-/I+=39.58, T+/I-=38.49, T+/I+=41.10"
sft_accuracy,3B Ambiguous T+I+ > T-I-,pass,"T+I+=35.62, T-I-=25.65"
sft_accuracy,3B Ambiguous T+I+ best,pass,"T-/I-=25.65, T-/I+=30.73, T+/I-=26.86, T+/I+=35.62"
sft_accuracy,3B Ambiguous intermediates between endpoints,pass,"T-/I-=25.65, T-/I+=30.73, T+/I-=26.86, T+/I+=35.62"
sft_accuracy,Overall 3B > 1B under T+I+,pass,"3B=40.60, 1B=34.90"
sft_accuracy,Explicit 3B > 1B under T+I+,pass,"3B=41.10, 1B=35.59"
sft_accuracy,Ambiguous 3B > 1B under T+I+,pass,"3B=35.62, 1B=27.95"
sft_vs_pretrained,1B Overall SFT > pretrained,pass,"SFT=34.90, pretrained=31.80"
sft_vs_pretrained,1B Explicit SFT > pretrained,pass,"SFT=35.59, pretrained=33.64"
sft_vs_pretrained,1B Ambiguous SFT > pretrained,pass,"SFT=27.95, pretrained=13.41"
sft_vs_pretrained,3B Overall SFT > pretrained,pass,"SFT=40.60, pretrained=34.55"
sft_vs_pretrained,3B Explicit SFT > pretrained,pass,"SFT=41.10, pretrained=35.18"
sft_vs_pretrained,3B Ambiguous SFT > pretrained,pass,"SFT=35.62, pretrained=28.15"
score_health,1B pretrained expected files present,pass,"found=40, expected=40"
score_health,1B pretrained option scores non-degenerate,pass,checked_files=40
gain_ci,maple_1b base localnewsqa_overall CI clear positive,pass,"delta=1.39, ci=[0.85, 1.93]"
gain_ci,maple_1b base localnewsqa_ambiguous CI clear positive,pass,"delta=6.71, ci=[5.06, 8.35]"
gain_ci,maple_1b base localnewsqa_explicit CI clear positive,pass,"delta=0.86, ci=[0.29, 1.39]"
gain_ci,maple_1b base localnewsqa_exact_pair CI clear positive,pass,"delta=1.88, ci=[1.24, 2.53]"
gain_ci,maple_1b base localnewsqa_margin_switch CI clear positive,pass,"delta=8.24, ci=[6.82, 9.59]"
gain_ci,maple_3b base localnewsqa_overall CI clear positive,pass,"delta=2.79, ci=[1.96, 3.65]"
gain_ci,maple_3b base localnewsqa_ambiguous CI clear positive,pass,"delta=9.24, ci=[6.47, 11.77]"
gain_ci,maple_3b base localnewsqa_explicit CI clear positive,pass,"delta=2.15, ci=[1.25, 3.01]"
gain_ci,maple_3b base localnewsqa_exact_pair CI clear positive,pass,"delta=8.76, ci=[7.41, 10.12]"
gain_ci,maple_3b base localnewsqa_margin_switch CI clear positive,pass,"delta=25.12, ci=[23.12, 27.18]"
gain_ci,maple_1b chat localnewsqa_overall CI clear positive,fail,"delta=0.51, ci=[-0.25, 1.35]"
gain_ci,maple_1b chat localnewsqa_ambiguous CI clear positive,pass,"delta=7.18, ci=[4.82, 9.65]"
gain_ci,maple_1b chat localnewsqa_explicit CI clear positive,fail,"delta=-0.16, ci=[-1.01, 0.69]"
gain_ci,maple_1b chat localnewsqa_exact_pair CI clear positive,pass,"delta=3.59, ci=[2.71, 4.47]"
gain_ci,maple_1b chat localnewsqa_margin_switch CI clear positive,pass,"delta=11.35, ci=[9.82, 12.77]"
gain_ci,maple_3b chat localnewsqa_overall CI clear positive,pass,"delta=2.20, ci=[1.39, 3.04]"
gain_ci,maple_3b chat localnewsqa_ambiguous CI clear positive,pass,"delta=10.12, ci=[7.47, 12.82]"
gain_ci,maple_3b chat localnewsqa_explicit CI clear positive,pass,"delta=1.41, ci=[0.53, 2.24]"
gain_ci,maple_3b chat localnewsqa_exact_pair CI clear positive,pass,"delta=5.12, ci=[4.12, 6.18]"
gain_ci,maple_3b chat localnewsqa_margin_switch CI clear positive,pass,"delta=13.65, ci=[12.06, 15.24]"
pretrained_switch,MAPLE 1B exact_pair_accuracy_pct T+I+ > T-I-,pass,"T+I+=1.68, T-I-=0.00"
pretrained_switch,MAPLE 1B margin_switch_rate_pct T+I+ > T-I-,pass,"T+I+=7.78, T-I-=0.00"
pretrained_switch,MAPLE 3B exact_pair_accuracy_pct T+I+ > T-I-,pass,"T+I+=8.78, T-I-=0.00"
pretrained_switch,MAPLE 3B margin_switch_rate_pct T+I+ > T-I-,pass,"T+I+=24.13, T-I-=0.00"
pretrained_switch,exact_pair_accuracy_pct 3B > 1B,pass,"3B=8.78, 1B=1.68"
pretrained_switch,margin_switch_rate_pct 3B > 1B,pass,"3B=24.13, 1B=7.78"
sft_switch,MAPLE Chat 1B exact_pair T+I+ > T-I-,pass,"T+I+=3.49%, T-I-=0.00%"
sft_switch,MAPLE Chat 1B margin_switch T+I+ > T-I-,pass,"T+I+=10.69%, T-I-=0.00%"
sft_switch,MAPLE Chat 3B exact_pair T+I+ > T-I-,pass,"T+I+=5.36%, T-I-=0.00%"
sft_switch,MAPLE Chat 3B margin_switch T+I+ > T-I-,pass,"T+I+=14.08%, T-I-=0.00%"
sft_switch,exact_pair 3B > 1B,pass,"3B=5.36%, 1B=3.49%"
sft_switch,margin_switch 3B > 1B,pass,"3B=14.08%, 1B=10.69%"
granular_ambiguous,MAPLE 1B Base ambiguous gain positive for every country,fail,groups=17/17; min_delta=0.00; non_positive=Sri Lanka:0.00
granular_ambiguous,MAPLE 1B Base ambiguous gain positive for every topic,pass,groups=8/8; min_delta=4.19; non_positive=none
granular_ambiguous,MAPLE 1B Chat ambiguous gain positive for every country,fail,groups=17/17; min_delta=-3.00; non_positive=Ireland:-3.00; United Kingdom:0.00; United States:-3.00
granular_ambiguous,MAPLE 1B Chat ambiguous gain positive for every topic,pass,groups=8/8; min_delta=0.93; non_positive=none
granular_ambiguous,MAPLE 3B Base ambiguous gain positive for every country,fail,groups=17/17; min_delta=-3.00; non_positive=Bangladesh:-3.00; Canada:-2.00; Tanzania:-3.00
granular_ambiguous,MAPLE 3B Base ambiguous gain positive for every topic,pass,groups=8/8; min_delta=4.13; non_positive=none
granular_ambiguous,MAPLE 3B Chat ambiguous gain positive for every country,fail,groups=17/17; min_delta=0.00; non_positive=Hong Kong:0.00; Sri Lanka:0.00; United States:0.00
granular_ambiguous,MAPLE 3B Chat ambiguous gain positive for every topic,fail,groups=8/8; min_delta=-2.79; non_positive=Civic institutions:-2.79
